date,ticker,name,market,close,change_pct,volume,value_eok,ma5,ma20,ma60,ma120,rsi14,volume_ratio_20d,value_ratio_20d,gap_pct,upper_shadow_pct,close_position_pct,distance_ma20_pct,high_20d_breakout,high_60d_breakout,trend_state,candle_state,pattern,entry_risk,chart_score,comment
20260506,004800,효성,KOSPI,258500,16.97,228667,591.1,231800.0,177395.0,157161.67,145770.83,89.96,3.51,4.61,4.52,17.8,82.2,45.72,False,False,strong_uptrend,strong_close,momentum_watch,extreme,60,모멘텀은 있으나 추가 확인이 필요한 자리입니다. RSI 90.0로 추격 매수는 부담스럽습니다. 20일선 이격 45.7%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,001440,대한전선,KOSPI,69200,14.0,29842743,20651.2,56660.0,42100.0,34442.5,29536.25,92.05,2.13,3.27,3.13,34.3,65.7,64.37,True,True,strong_uptrend,normal,trend_continuation,extreme,56,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. RSI 92.0로 추격 매수는 부담스럽습니다. 20일선 이격 64.4%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,356680,엑스게이트,KOSDAQ,18470,23.05,14607124,2697.9,14902.0,12570.5,8964.0,8401.92,70.64,3.5,4.45,-1.0,13.9,86.1,46.93,True,True,strong_uptrend,strong_close,trend_continuation,high,95,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 20일선 이격 46.9%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,028260,삼성물산,KOSPI,375500,17.34,1745292,6553.6,322400.0,307325.0,300133.33,276979.17,77.51,4.44,5.5,8.75,22.8,77.2,22.18,True,True,strong_uptrend,strong_close,trend_continuation,high,93,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 20일선 이격 22.2%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,248070,솔루엠,KOSPI,23600,13.19,2008660,474.0,20588.0,19298.5,17986.5,17300.17,78.8,6.14,7.69,0.48,17.5,82.5,22.29,True,True,strong_uptrend,strong_close,volume_breakout,high,87,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 6.1배입니다. 20일선 이격 22.3%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,005930,삼성전자,KOSPI,266000,14.41,53097996,141240.7,233400.0,217775.0,196498.33,158888.33,81.48,2.23,2.77,9.25,21.1,78.9,22.14,True,True,strong_uptrend,strong_close,trend_continuation,high,83,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. RSI 81.5로 추격 매수는 부담스럽습니다. 20일선 이격 22.1%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,007610,선도전기,KOSPI,12740,16.03,19558919,2491.8,8334.0,4333.5,3444.5,3222.25,,30.95,54.9,29.96,0.0,32.6,193.99,True,True,strong_uptrend,gap_up,trend_continuation,high,83,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 30.9배입니다. 20일선 이격 194.0%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,037030,파워넷,KOSDAQ,9670,29.97,13999107,1353.7,6922.0,6792.5,4653.25,3673.38,57.44,1.91,2.65,4.84,0.0,100.0,42.36,True,True,strong_uptrend,strong_close,trend_continuation,high,81,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 20일선 이격 42.4%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,203650,드림시큐리티,KOSDAQ,3755,29.93,90934945,3414.6,3062.0,2820.55,2011.27,1833.18,65.45,4.74,5.51,0.87,0.0,100.0,33.13,False,False,strong_uptrend,strong_close,momentum_watch,high,80,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 20일선 이격 33.1%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,089010,켐트로닉스,KOSDAQ,45700,20.11,3951325,1805.8,39870.0,34335.0,31707.5,31558.75,79.96,10.04,12.64,5.12,31.8,68.2,33.1,True,True,strong_uptrend,normal,trend_continuation,high,76,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 10.0배입니다. 20일선 이격 33.1%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
